sub,blk,blkType,trl,dur,isLet,oriT,oriC,resp,rt,acc
0,0,0,0,20,0,5.1,5.1,0,6.919, True
0,0,0,1,20,1,2.88,2.88,1,0.933, True
0,0,0,2,19,1,3.35,3.35,1,0.882, True
0,0,0,3,19,0,5.71,5.71,0,0.663, True
0,0,0,4,18,1,5.31,5.31,1,0.802, True
0,0,0,5,18,0,2.63,2.63,0,0.757, True
0,0,0,6,17,1,2.94,2.94,1,0.613, True
0,0,0,7,17,1,2.87,2.87,1,0.482, True
0,0,0,8,16,0,4.89,4.89,0,0.533, True
0,0,0,9,16,1,4.1,4.1,1,0.514, True
0,1,1,0,20,1,2.01,5.15,1,0.583, True
0,1,1,1,20,0,2.77,5.91,0,0.605, True
0,1,1,2,19,1,0.54,3.68,1,0.423, True
0,1,1,3,19,0,0.07,3.21,0,0.621, True
0,1,1,4,18,0,2.41,5.55,0,0.746, True
0,1,1,5,18,1,3.13,6.27,1,0.506, True
0,1,1,6,17,1,4.2,1.06,1,0.589, True
0,1,1,7,17,0,0.64,3.78,1,0.818, False
0,1,1,8,18,1,5.09,1.95,1,1.029, True
0,1,1,9,18,0,3.29,0.14,0,0.559, True
0,2,1,0,9,1,4.67,1.53,0,0.946, False
0,2,1,1,10,1,5.54,2.4,1,0.882, True
0,2,1,2,10,0,1.03,4.17,0,0.607, True
0,2,1,3,9,0,3.52,0.38,0,0.501, True
0,2,1,4,9,1,2.24,5.38,1,0.466, True
0,2,1,5,8,0,5.02,1.88,0,0.479, True
0,2,1,6,8,0,2.21,5.35,1,0.714, False
0,2,1,7,9,0,2.03,5.17,0,0.44, True
0,2,1,8,9,0,0.54,3.68,0,0.503, True
0,2,1,9,8,0,1.21,4.36,0,0.49, True
0,2,1,10,8,1,0.99,4.13,1,0.41, True
0,2,1,11,7,0,4.9,1.76,1,0.554, False
0,2,1,12,8,1,0.58,3.72,1,0.49, True
0,2,1,13,8,1,2.31,5.46,1,0.506, True
0,2,1,14,7,0,4.36,1.22,0,0.535, True
0,2,1,15,7,0,3.62,0.48,0,0.938, True
0,2,1,16,6,1,5.35,2.21,1,0.383, True
0,2,1,17,6,1,6.12,2.98,1,0.813, True
0,2,1,18,5,1,0.83,3.97,1,0.503, True
0,2,1,19,5,1,1.05,4.19,1,0.399, True
0,2,1,20,4,0,3.19,0.05,1,0.573, False
0,2,1,21,5,1,5.96,2.82,1,0.365, True
0,2,1,22,5,1,2.44,5.58,1,0.517, True
0,2,1,23,4,1,3.42,0.27,1,0.666, True
0,2,1,24,4,1,6.13,2.99,1,0.383, True
0,2,1,25,3,1,2.43,5.57,1,0.469, True
0,2,1,26,3,0,1.14,4.28,1,0.463, False
0,2,1,27,4,1,5.75,2.6,1,0.666, True
0,2,1,28,4,0,3.38,0.24,0,0.474, True
0,2,1,29,3,0,4.22,1.08,1,0.743, False
0,2,1,30,4,0,4.03,0.89,1,0.807, False
0,2,1,31,5,0,4.72,1.58,1,0.805, False
0,2,1,32,6,1,4.16,1.02,0,0.802, False
0,2,1,33,7,0,0.09,3.24,0,0.623, True
0,2,1,34,7,0,6.02,2.87,0,0.506, True
0,2,1,35,6,1,5.15,2,1,0.455, True
0,2,1,36,6,1,0.43,3.57,1,0.541, True
0,2,1,37,5,0,5.02,1.87,0,0.551, True
0,2,1,38,5,0,1.14,4.28,0,0.629, True
0,2,1,39,4,1,4.29,1.15,0,0.703, False
0,2,1,40,5,1,5.95,2.81,1,0.52, True
0,2,1,41,5,0,5.16,2.02,1,0.778, False
