word,status,valence,id
doctor,1,1,132
dryer,1,1,68
rattle,1,1,166
rain,1,1,36
farm,1,1,11
journal,1,1,212
stairs,1,1,179
runner,1,1,168
trumpet,1,1,229
range,1,1,94
barrel,1,1,119
manner,1,1,149
border,1,1,122
dresser,1,1,198
theory,1,1,184
screen,1,1,170
hard,1,1,18
golfer,1,1,139
square,1,1,178
history,1,1,209
rough,1,1,95
trunk,1,1,113
stereo,1,1,181
street,1,1,182
shower,1,1,173
terrace,1,1,228
paper,1,1,85
iron,1,1,21
quart,1,1,91
mirror,1,1,154
broom,1,1,61
finger,1,1,137
serious,1,1,224
measure,1,1,216
cork,1,1,6
roof,1,1,39
truck,1,1,112
glacier,1,1,204
part,1,1,35
gender,1,1,138
hydrant,1,1,210
tower,1,1,110
track,1,1,111
corner,1,1,129
banner,1,1,118
frog,1,1,14
plaster,1,1,220
teacher,1,1,227
grouped,1,1,206
chair,1,1,62
carpet,1,1,124
earring,1,1,199
circle,1,1,126
repair,1,1,167
mixer,1,1,80
errand,1,1,134
market,1,1,151
fabric,1,1,136
limber,1,1,146
hammer,1,1,140
rake,1,1,37
poetry,1,1,163
factory,1,1,200
horse,1,1,74
century,1,1,194
cord,1,1,5
hairpin,1,1,207
storm,1,1,104
furnace,1,1,202
boxer,1,1,60
butter,1,1,123
nursery,1,1,217
fork,1,1,13
cellar,1,1,125
spray,1,1,100
knot,0,1,24
phase,0,1,87
flame,0,1,70
incline,0,1,211
wash,0,1,53
bench,0,1,57
passage,0,1,218
total,0,1,108
metal,0,1,79
mystic,0,1,158
desk,0,1,7
quote,0,1,93
loyal,0,1,78
jelly,0,1,76
bland,0,1,58
sponge,0,1,177
quiet,0,1,92
mantel,0,1,150
wagon,0,1,115
village,0,1,231
coast,0,1,66
muddy,0,1,82
gateway,0,1,203
lamb,0,1,25
lawn,0,1,27
hide,0,1,20
window,0,1,187
machine,0,1,215
somehow,0,1,225
shadow,0,1,171
noisy,0,1,83
stomach,0,1,226
museum,0,1,157
photo,0,1,88
ankle,0,1,55
violin,0,1,186
statue,0,1,180
gene,0,1,16
obey,0,1,33
vase,0,1,51
steps,0,1,102
avenue,0,1,117
milk,0,1,30
chimney,0,1,195
minute,0,1,153
keen,0,1,23
blase,0,1,59
closet,0,1,127
icebox,0,1,142
highway,0,1,208
hawk,0,1,19
tool,0,1,49
basket,0,1,120
time,0,1,48
yellow,0,1,189
pencil,0,1,162
dish,0,1,8
basin,0,1,56
tank,0,1,46
glass,0,1,72
utensil,0,1,230
moth,0,1,31
detail,0,1,131
patio,0,1,86
engine,0,1,133
column,0,1,128
polish,0,1,164
locate,0,1,147
sofa,0,1,45
humble,0,1,141
clock,0,1,64
seat,0,1,41
swamp,0,1,106
dentist,0,1,197
juice,0,1,77
injury,1,2,358
grave,1,2,301
surgery,1,2,443
enraged,1,2,412
coward,1,2,345
grief,1,2,303
tumor,1,2,321
funeral,1,2,415
loser,1,2,306
afraid,1,2,334
horror,1,2,356
riot,1,2,260
bored,1,2,281
blister,1,2,404
worry,1,2,328
curse,1,2,288
ulcer,1,2,322
rage,1,2,258
pervert,1,2,433
crushed,1,2,407
morgue,1,2,368
severe,1,2,381
cancer,1,2,342
cruel,1,2,287
germs,1,2,299
nerves,1,2,370
burden,1,2,340
poverty,1,2,435
crisis,1,2,346
cruelty,1,2,406
tragedy,1,2,447
terror,1,2,389
trauma,1,2,392
hatred,1,2,355
crucify,1,2,405
fright,1,2,353
harm,1,2,247
garbage,1,2,416
stress,1,2,385
rude,1,2,262
regret,1,2,377
malaria,1,2,424
betray,1,2,335
nervous,1,2,428
misery,1,2,366
crime,1,2,285
rabies,1,2,376
crash,1,2,283
divorce,1,2,411
tragic,1,2,391
murder,1,2,369
drown,1,2,293
angry,1,2,275
worse,1,2,329
sore,1,2,267
suffer,1,2,387
rape,1,2,259
fury,1,2,244
torture,1,2,446
burial,1,2,341
despair,1,2,408
spider,1,2,383
destroy,1,2,410
brutal,1,2,339
prison,1,2,373
leprosy,1,2,423
corpse,1,2,344
danger,1,2,348
revenge,1,2,437
greed,1,2,302
failure,1,2,413
whore,1,2,327
robber,1,2,378
putrid,1,2,375
traitor,1,2,448
addict,0,2,333
fault,0,2,295
outcast,0,2,431
panic,0,2,309
assault,0,2,403
violent,0,2,453
solemn,0,2,382
poison,0,2,372
feeble,0,2,351
bleed,0,2,280
tension,0,2,444
incite,0,2,357
filth,0,2,297
upset,0,2,323
tomb,0,2,268
unhappy,0,2,450
enemy,0,2,294
avoid,0,2,277
wounds,0,2,398
inhibit,0,2,422
hang,0,2,246
seasick,0,2,438
bomb,0,2,234
doubt,0,2,292
sick,0,2,264
venom,0,2,324
coffin,0,2,343
inflict,0,2,421
guilt,0,2,305
selfish,0,2,439
killed,0,2,361
menace,0,2,365
shame,0,2,312
envy,0,2,240
deceit,0,2,349
hostile,0,2,420
measles,0,2,425
detest,0,2,350
damage,0,2,347
jail,0,2,251
flabby,0,2,352
punish,0,2,374
dead,0,2,236
abused,0,2,331
wicked,0,2,397
awful,0,2,278
slime,0,2,315
guilty,0,2,354
uneasy,0,2,393
hideous,0,2,418
lonely,0,2,362
neglect,0,2,427
slave,0,2,314
accuse,0,2,332
pest,0,2,257
hate,0,2,248
stupid,0,2,386
doom,0,2,239
victim,0,2,396
vomit,0,2,325
abuse,0,2,271
ache,0,2,233
tense,0,2,318
lice,0,2,252
vandal,0,2,395
pain,0,2,256
despise,0,2,409
insane,0,2,359
thief,0,2,319
death,0,2,289
hell,0,2,249
pollute,0,2,434
mistake,0,2,426
bitchy,0,2,336
scum,0,2,263
earnest,1,3,615
comfort,1,3,611
