sub, num, size, rt, resp
101, 0, 0, 7924, /
101, 52, 2, 1178, z
101, 44, 1, 913, z
101, 48, 1, 2549, z
101, 50, 1, 1931, z
101, 49, 1, 4049, z
101, 68, 2, 1010, /
101, 57, 2, 1043, /
101, 64, 2, 542, /
101, 36, 1, 499, z
101, 58, 2, 579, /
101, 67, 2, 559, /
101, 37, 1, 517, z
101, 39, 1, 2258, z
101, 51, 2, 2856, /
101, 47, 1, 1992, z
101, 59, 2, 1985, /
101, 55, 2, 2401, /
101, 54, 2, 3297, z
101, 70, 2, 539, /
101, 62, 2, 544, /
101, 41, 1, 597, z
101, 65, 2, 481, /
101, 38, 1, 565, z
101, 53, 2, 693, /
101, 45, 1, 499, /
101, 32, 1, 533, z
101, 31, 1, 530, z
101, 56, 2, 1735, /
101, 35, 1, 1055, z
101, 61, 2, 528, /
101, 43, 1, 3599, z
101, 63, 2, 521, /
101, 66, 2, 525, /
101, 69, 2, 512, /
101, 33, 1, 530, z
101, 40, 1, 536, z
101, 34, 1, 840, z
101, 60, 2, 406, /
101, 42, 1, 775, z
101, 46, 1, 771, /
101, 0, 0, 1362, /
101, 51, 2, 4263, /
101, 55, 2, 718, /
101, 37, 1, 493, z
101, 63, 2, 531, /
101, 46, 1, 2407, z
101, 36, 1, 892, z
101, 60, 2, 424, /
101, 58, 2, 464, /
101, 34, 1, 1681, z
101, 35, 1, 2482, z
101, 43, 1, 5705, z
101, 54, 2, 1534, /
101, 40, 1, 3619, z
101, 42, 1, 3235, z
101, 44, 1, 1319, z
101, 48, 1, 3002, /
101, 38, 1, 684, z
101, 70, 2, 428, /
101, 68, 2, 351, /
101, 52, 2, 636, /
101, 62, 2, 703, /
101, 61, 2, 441, /
101, 49, 1, 614, /
101, 57, 2, 471, /
101, 39, 1, 1462, z
101, 67, 2, 532, /
101, 53, 2, 897, /
101, 50, 1, 1301, /
101, 65, 2, 453, /
101, 31, 1, 601, z
101, 64, 2, 541, /
101, 69, 2, 550, z
101, 59, 2, 782, /
101, 66, 2, 411, /
101, 56, 2, 1382, /
101, 47, 1, 5654, /
101, 41, 1, 3421, z
101, 33, 1, 1274, z
101, 32, 1, 733, z
101, 45, 1, 4964, z
101, 0, 0, 838, z
101, 53, 2, 4755, /
101, 52, 2, 656, /
101, 32, 1, 597, z
101, 43, 1, 5761, z
101, 64, 2, 720, /
101, 45, 1, 2937, z
101, 47, 1, 3494, z
101, 41, 1, 1238, z
101, 60, 2, 2115, /
101, 66, 2, 2262, /
101, 48, 1, 4518, z
101, 40, 1, 2594, z
101, 68, 2, 725, /
101, 55, 2, 4236, /
101, 34, 1, 641, z
101, 70, 2, 718, /
101, 46, 1, 633, z
101, 42, 1, 610, z
101, 59, 2, 619, /
101, 35, 1, 703, z
101, 67, 2, 581, /
101, 31, 1, 658, z
101, 50, 1, 524, /
101, 69, 2, 616, z
101, 33, 1, 809, z
101, 51, 2, 798, /
101, 36, 1, 701, z
101, 61, 2, 503, /
101, 63, 2, 504, /
101, 56, 2, 628, /
101, 65, 2, 518, /
101, 37, 1, 564, z
101, 49, 1, 3418, z
101, 57, 2, 680, /
101, 54, 2, 616, /
101, 44, 1, 661, z
101, 62, 2, 1908, /
101, 39, 1, 515, z
101, 58, 2, 447, /
101, 38, 1, 528, z
101, 0, 0, 666, /
101, 62, 2, 626, /
101, 69, 2, 506, /
101, 35, 1, 608, z
101, 44, 1, 958, /
101, 37, 1, 658, z
101, 33, 1, 567, z
101, 65, 2, 728, /
101, 61, 2, 1240, /
101, 32, 1, 487, z
101, 46, 1, 3882, z
101, 53, 2, 1955, z
101, 48, 1, 535, z
101, 52, 2, 2177, z
101, 40, 1, 492, z
101, 67, 2, 584, /
101, 45, 1, 506, z
101, 38, 1, 629, z
101, 70, 2, 497, /
101, 63, 2, 968, /
101, 55, 2, 4235, z
101, 54, 2, 4984, z
101, 66, 2, 879, /
101, 68, 2, 536, /
101, 43, 1, 597, z
101, 47, 1, 652, z
101, 60, 2, 493, /
101, 51, 2, 3050, /
101, 56, 2, 716, /
101, 39, 1, 615, z
101, 64, 2, 548, /
101, 41, 1, 533, z
101, 42, 1, 2670, z
101, 58, 2, 1393, /
101, 31, 1, 536, z
101, 36, 1, 1426, z
101, 49, 1, 2651, z
101, 50, 1, 5885, /
